"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","Search Employee and view exam, @sanity","chromium","2026-03-24","failed","2026-03-24","","SearchEmployee.spec.ts","",""
"","3","Login and save session","setup","2026-03-24","failed","2026-03-24","","auth.setup.ts","",""
"","31009","Login Test with JSON Data: Non-existent user @sanity","chromium","2026-03-23","broken","2026-03-23","","LoginDataDriven.spec.ts","",""
"","2","Login Test with JSON Data: Invalid password @sanity","chromium","2026-03-24","failed","2026-03-24","","LoginDataDriven.spec.ts","",""
"","2","Login Test with JSON Data: Valid login @sanity","chromium","2026-03-24","failed","2026-03-24","","LoginDataDriven.spec.ts","",""
"","3831","Login Test with JSON Data: Invalid password @datadriven","chromium","2026-02-20","passed","2026-02-20","","LoginDataDriven.spec.ts","",""
"","8460","Search Employee and view exam, @sanity","tests","2026-03-24","passed","2026-03-24","","SearchEmployee.spec.ts","",""
"","684","Create New Employee and verify in Search","tests","2026-03-18","failed","2026-03-18","","CreateEmp.spec.ts","",""
"","2956","Login Test with JSON Data: Non-existent user @datadriven","chromium","2026-02-20","passed","2026-02-20","","LoginDataDriven.spec.ts","",""
"","31196","Login Test with JSON Data: Valid login @sanity","tests","2026-03-24","broken","2026-03-24","","LoginDataDriven.spec.ts","",""
"","3689","user login test","chromium","2026-03-18","passed","2026-03-18","","login1.spec.ts","",""
"","8117","Search Employee and view exam","chromium","2026-03-18","passed","2026-03-18","","searchEmployee.spec.ts","",""
"","0","Login Test with CSV Data: Valid login @datadriven","chromium","2026-03-23","skipped","2026-03-23","","LoginDataDriven.spec.ts","",""
"","2972","Login Test with JSON Data: Empty username @datadriven","chromium","2026-02-20","passed","2026-02-20","","LoginDataDriven.spec.ts","",""
"","0","Login Test with CSV Data: Valid login @datadriven","tests","2026-03-23","skipped","2026-03-23","","LoginDataDriven.spec.ts","",""
"","31339","user login test","chromium","2026-02-20","broken","2026-02-20","","login.spec.ts","",""
"","30963","Login Test with JSON Data: Non-existent user @sanity","tests","2026-03-23","broken","2026-03-23","","LoginDataDriven.spec.ts","",""
"","7863","Search Employee and view exam","tests","2026-03-18","passed","2026-03-18","","searchEmployee.spec.ts","",""
"","5146","Login Test with JSON Data: Valid login @datadriven","chromium","2026-02-20","failed","2026-02-20","","LoginDataDriven.spec.ts","",""
"","0","Login Test with CSV Data: Invalid login @datadriven","chromium","2026-03-23","skipped","2026-03-23","","LoginDataDriven.spec.ts","",""
"","2768","Login Test with JSON Data: Empty password @datadriven","chromium","2026-02-20","passed","2026-02-20","","LoginDataDriven.spec.ts","",""
"","3528","user login test","tests","2026-03-18","passed","2026-03-18","","login1.spec.ts","",""
"","30802","Login Test with JSON Data: Invalid password @sanity","tests","2026-03-24","broken","2026-03-24","","LoginDataDriven.spec.ts","",""
"","31042","Login Test with JSON Data: Empty username @sanity","chromium","2026-03-23","broken","2026-03-23","","LoginDataDriven.spec.ts","",""
"","9438","Create New Employee and verify in Search","chromium","2026-03-18","failed","2026-03-18","","CreateEmp.spec.ts","",""
"","30987","Login Test with JSON Data: Empty username @sanity","tests","2026-03-23","broken","2026-03-23","","LoginDataDriven.spec.ts","",""
"","30783","Login Test with JSON Data: Empty password @sanity","chromium","2026-03-23","broken","2026-03-23","","LoginDataDriven.spec.ts","",""
"","31017","Login Test with JSON Data: Empty password @sanity","tests","2026-03-23","broken","2026-03-23","","LoginDataDriven.spec.ts","",""
"","0","Login Test with CSV Data: Invalid login @datadriven","tests","2026-03-23","skipped","2026-03-23","","LoginDataDriven.spec.ts","",""
